brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,price
Hyundai,Elantra,2023.0,22000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,615000000
Mazda,6,2016.0,124000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,420000000
Mercedes Benz,GLC Class,2023.0,22000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,1979000000
Toyota,Fortuner,2012.0,200000.0,Dầu,Số sàn,Việt Nam,SUV / Cross over,7.0,430000000
Ford,EcoSport,2019.0,59000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,435000000
Toyota,Hiace,2007.0,250000.0,Dầu,Tự động,Hàn Quốc,Pick-up (bán tải),6.0,210000000
Mazda,3,2018.0,81031.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,402000000
Kia,Morning,2020.0,53000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,303000000
Toyota,Innova,2017.0,79600.0,Xăng,Tự động,Việt Nam,Minivan (MPV),8.0,516000000
Porsche,Panamera,2019.0,51000.0,Xăng,Tự động,Đức,Sedan,5.0,4499000000
VinFast,Lux A2.0,2022.0,9800.0,Xăng,Tự động,Việt Nam,Sedan,5.0,645000000
Toyota,Camry,2008.0,160000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,295000000
Ford,Ranger,2019.0,90000.0,Dầu,Số sàn,Thái Lan,Pick-up (bán tải),5.0,480000000
Ford,Ranger,2023.0,34000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,1175000000
Honda,City,2023.0,15000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,509000000
Mercedes Benz,C Class,2016.0,43000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,668000000
Mitsubishi,Grandis,2005.0,116000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),5.0,200000000
Mitsubishi,Grandis,2009.0,164000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),5.0,175000000
Mazda,CX 8,2020.0,46000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,779000000
Mitsubishi,Mirage,2016.0,93000.0,Xăng,Số sàn,Thái Lan,Hatchback,5.0,138000000
Ford,Focus,2017.0,40000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,422000000
