brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,condition,price
Kia,Cerato,2018.0,65689.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,409000000
Audi,Q7,2008.0,90000.0,Xăng,Tự động,Đức,SUV / Cross over,7.0,Đã sử dụng,339000000
VinFast,VF5,2024.0,10000.0,Điện,Tự động,Việt Nam,Hatchback,5.0,Đã sử dụng,485000000
Kia,Morning,2021.0,50000.0,Xăng,Số sàn,Việt Nam,Hatchback,5.0,Đã sử dụng,238000000
VinFast,VF9,2023.0,11600.0,Điện,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,1150000000
Toyota,Wigo,2018.0,70551.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,Đã sử dụng,280000000
Honda,Brio,2019.0,80000.0,Xăng,Tự động,Hàn Quốc,Hatchback,5.0,Đã sử dụng,315000000
Subaru,Forester,2021.0,53000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,770000000
Toyota,Innova,2013.0,116000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,285000000
Toyota,Innova,2019.0,78000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,441000000
Mercedes Benz,GLA Class,2016.0,78000.0,Xăng,Bán tự động,Đức,SUV / Cross over,8.0,Đã sử dụng,590000000
